Concesionario,Año,Infraestructura Acumulada,Inversión Anual en Infraestructura,Equipo Acumulada,Inversión Anual en Equipo,Telecomunicaciones Acumulada,Inversión Anual en Telecomunicaciones,Inv. Acum. Equipo Infra y Tele. ,Inversión Anual en Equipo Infra. y Tele.,Inversión Total Acumulada,Inversión Total Anual
FERROSUR,2003, -   , -   ," 728,072.00 "," 16,128.00 ", -   , -   ," 728,072.00 "," 16,128.00 "," 998,436.00 "," 72,503.00 "
FERROSUR,2004," 608,917.00 "," 608,917.00 "," 840,296.00 "," 112,224.00 "," 67,511.00 "," 67,511.00 "," 1,516,724.00 "," 788,652.00 "," 1,804,823.00 "," 806,387.00 "
FERROSUR,2005," 658,661.00 "," 49,744.00 "," 1,428,021.00 "," 587,725.00 "," 70,594.00 "," 3,083.00 "," 2,157,276.00 "," 640,552.00 "," 2,470,208.00 "," 665,385.00 "
FERROSUR,2006," 774,904.00 "," 116,243.00 "," 1,900,988.00 "," 472,967.00 "," 89,126.00 "," 18,532.00 "," 2,765,018.00 "," 607,742.00 "," 3,133,960.00 "," 663,752.00 "
FERROSUR,2007," 948,155.00 "," 173,251.00 "," 2,061,673.00 "," 160,685.00 "," 112,073.00 "," 22,947.00 "," 3,121,901.00 "," 356,883.00 "," 3,551,246.00 "," 417,286.00 "
FERROSUR,2008," 963,641.00 "," 15,486.00 "," 2,129,499.00 "," 67,826.00 "," 124,306.00 "," 12,233.00 "," 3,217,446.00 "," 95,545.00 "," 3,685,157.00 "," 133,911.00 "
FERROSUR,2009," 1,104,962.00 "," 141,321.00 "," 2,175,801.00 "," 46,302.00 "," 132,331.00 "," 8,025.00 "," 3,413,094.00 "," 195,648.00 "," 3,949,170.00 "," 264,013.00 "
FERROSUR,2010," 1,232,910.00 "," 127,948.00 "," 2,417,019.00 "," 241,218.00 "," 143,627.00 "," 11,296.00 "," 3,793,556.00 "," 380,462.00 "," 4,336,039.00 "," 386,869.00 "
FERROSUR,2011," 1,404,700.00 "," 171,790.00 "," 2,824,668.00 "," 407,649.00 "," 159,359.00 "," 15,732.00 "," 4,388,727.00 "," 595,171.00 "," 5,443,596.00 "," 1,107,557.00 "
FERROSUR,2012," 1,693,576.00 "," 288,876.00 "," 2,887,018.00 "," 62,350.00 "," 162,565.00 "," 3,206.00 "," 4,743,159.00 "," 354,432.00 "," 5,972,093.00 "," 528,497.00 "
FERROSUR,2013," 2,134,943.00 "," 441,367.00 "," 3,048,960.00 "," 161,942.00 "," 169,568.00 "," 7,003.00 "," 5,353,471.00 "," 610,312.00 "," 6,453,689.00 "," 481,596.00 "
FERROSUR,2014," 2,539,306.00 "," 404,363.00 "," 3,173,950.00 "," 124,990.00 "," 190,841.00 "," 21,273.00 "," 5,904,097.00 "," 550,626.00 "," 7,145,928.00 "," 692,239.00 "
FERROSUR,2015," 2,822,147.00 "," 282,841.00 "," 3,614,800.00 "," 440,850.00 "," 230,456.00 "," 39,615.00 "," 6,667,403.00 "," 763,306.00 "," 8,062,051.00 "," 916,123.00 "
FERROSUR,2016," 3,221,189.00 "," 399,042.00 "," 3,478,713.00 ","-136,087.00 "," 345,077.00 "," 114,621.00 "," 7,044,979.00 "," 377,576.00 "," 8,306,748.00 "," 244,697.00 "
FERROSUR,2017," 3,453,589.00 "," 232,400.00 "," 3,574,411.00 "," 95,698.00 "," 419,093.00 "," 74,016.00 "," 7,447,093.00 "," 402,114.00 "," 8,993,514.00 "," 686,766.00 "
FERROSUR,2018," 3,900,181.00 "," 446,592.00 "," 3,677,985.00 "," 103,574.00 "," 480,057.00 "," 60,964.00 "," 8,058,223.00 "," 611,130.00 "," 9,566,572.00 "," 573,058.00 "
FERROSUR,2019," 4,244,271.00 "," 344,090.00 "," 3,730,897.00 "," 52,912.00 "," 528,639.00 "," 48,582.00 "," 8,503,807.00 "," 445,584.00 "," 10,016,007.00 "," 449,435.00 "
FERROSUR,2020," 4,639,435.00 "," 395,164.00 "," 4,012,324.00 "," 281,427.00 "," 568,767.00 "," 40,128.00 "," 9,220,526.00 "," 716,719.00 "," 10,874,823.00 "," 858,816.00 "
